"seqnames"	"start"	"end"	"width"	"strand"	"L"	"area"	"beta"	"stat"	"pval"	"qval"	"index.start"	"index.end"	"index.width"	"rawDiff"	"Comp"	"Class"
"1"	"chrX"	129779590	129780074	485	"*"	30	10.3686455685836	-0.776516545405197	-23.014391545611	0.000645994832041344	0.0106976744186046	43569	43598	30	-0.354596290996852	"UC-N"	"hypo"
"2"	"chrX"	44343813	44344980	1168	"*"	37	9.84303998098588	-0.686804356386848	-22.5519020269185	0.000645994832041344	0.0106976744186046	13935	13971	37	-0.295736497547967	"UC-N"	"hypo"
"3"	"chrX"	15500618	15501005	388	"*"	36	7.90015018090731	-0.512455788558648	-17.3675841867929	0.000645994832041344	0.0106976744186046	4173	4208	36	-0.210732709603407	"UC-N"	"hypo"
"4"	"chrX"	12956040	12956770	731	"*"	21	5.74107504869252	-0.769202960454561	-17.264386496996	0.000645994832041344	0.0106976744186046	2866	2886	21	-0.300817668002864	"UC-N"	"hypo"
"5"	"chrX"	45200868	45201300	433	"*"	16	4.51951799494194	-0.689103052838337	-15.8154136806496	0.000645994832041344	0.0106976744186046	14204	14219	16	-0.31087212610414	"UC-N"	"hypo"
"6"	"chrX"	103554797	103555068	272	"*"	23	3.11124944223812	-0.461762566000466	-15.6184897863003	0.000645994832041344	0.0106976744186046	34257	34279	23	-0.152954169249945	"UC-N"	"hypo"
"7"	"chrX"	17655536	17656281	746	"*"	46	11.8680089317106	-0.772126167043139	-15.2144663908363	0.000645994832041344	0.0106976744186046	5296	5341	46	-0.28997939537928	"UC-N"	"hypo"
"8"	"chrX"	71052882	71053405	524	"*"	48	9.81103491083735	-0.497924504532576	-14.7459086685691	0.000645994832041344	0.0106976744186046	25142	25189	48	-0.229504611990047	"UC-N"	"hypo"
"9"	"chrX"	135295673	135296027	355	"*"	40	11.1500660110472	-0.689756939958492	-14.2694399590963	0.000645994832041344	0.0106976744186046	46702	46741	40	-0.292682561590375	"UC-N"	"hypo"
"10"	"chrX"	131830638	131831168	531	"*"	26	5.20003760377881	-0.491815456905317	-14.2656803969764	0.000645994832041344	0.0106976744186046	44769	44794	26	-0.216213836526391	"UC-N"	"hypo"
