"seqnames"	"start"	"end"	"width"	"strand"	"L"	"area"	"beta"	"stat"	"pval"	"qval"	"index.start"	"index.end"	"index.width"	"rawDiff"	"Comp"	"Class"
"1"	"chr19"	57708601	57709588	988	"*"	105	29.3777299561037	-0.6619188041547	-39.7950058938805	0.000849617672047579	0.00678991974272734	157835	157939	105	-0.26732644315161	"UC-N"	"hypo"
"2"	"chr19"	15899782	15900659	878	"*"	96	20.0323265461044	-0.529228604040551	-33.812443258029	0.000849617672047579	0.00678991974272734	58158	58253	96	-0.201808402302684	"UC-N"	"hypo"
"3"	"chr19"	3178999	3180912	1914	"*"	107	39.1124794190355	-0.861198568176344	-32.2127869726219	0.000849617672047579	0.00678991974272734	15999	16105	107	-0.371706010698208	"UC-N"	"hypo"
"4"	"chr19"	42199076	42199771	696	"*"	35	14.2793362554888	-0.926486739973027	-30.5265088104039	0.000849617672047579	0.00678991974272734	107040	107074	35	-0.408940841036724	"UC-N"	"hypo"
"5"	"chr19"	16283555	16283964	410	"*"	50	13.6852719279632	-0.702759039708144	-29.5729888098916	0.000849617672047579	0.00678991974272734	59086	59135	50	-0.265748114791653	"UC-N"	"hypo"
"6"	"chr19"	57934841	57935621	781	"*"	106	17.5717244070873	-0.502293011226374	-28.3695144090081	0.000849617672047579	0.00678991974272734	158962	159067	106	-0.170549936913139	"UC-N"	"hypo"
"7"	"chr19"	13009827	13014900	5074	"*"	122	28.3671654965681	-0.579425298950855	-28.3662239790457	0.000849617672047579	0.00678991974272734	50820	50941	122	-0.231698094805686	"UC-N"	"hypo"
"8"	"chr19"	17405403	17406560	1158	"*"	39	13.1470774392548	-0.772795444096125	-26.4439891832949	0.000849617672047579	0.00678991974272734	62137	62175	39	-0.353751866055915	"UC-N"	"hypo"
"9"	"chr19"	13103598	13104838	1241	"*"	25	11.0753802274047	-1.0709800177493	-26.1155670534681	0.000849617672047579	0.00678991974272734	51137	51161	25	-0.455647459355144	"UC-N"	"hypo"
"10"	"chr19"	23002761	23003412	652	"*"	79	11.3969920110175	-0.354021091962054	-25.5252967785347	0.000849617672047579	0.00678991974272734	75518	75596	79	-0.149748200495393	"UC-N"	"hypo"
"11"	"chr19"	35328872	35329354	483	"*"	26	8.01109574388177	-0.659936581874947	-24.8232109567117	0.000849617672047579	0.00678991974272734	85856	85881	26	-0.308187494454134	"UC-N"	"hypo"
"12"	"chr19"	36605313	36605914	602	"*"	63	11.0815019746498	-0.518330152016797	-24.2027441209261	0.000849617672047579	0.00678991974272734	90823	90885	63	-0.158703378356833	"UC-N"	"hypo"
"13"	"chr19"	932724	932869	146	"*"	23	8.62090688681505	-0.937929171973418	-23.0234204401816	0.000849617672047579	0.00678991974272734	3835	3857	23	-0.383863853884538	"UC-N"	"hypo"
"14"	"chr19"	41121146	41121369	224	"*"	18	6.74037318102368	-0.861430036862914	-22.9783988148149	0.000849617672047579	0.00678991974272734	104262	104279	18	-0.382204217793138	"UC-N"	"hypo"
"15"	"chr19"	22708994	22709347	354	"*"	47	11.346596076885	-0.51672194067654	-22.865005063862	0.000849617672047579	0.00678991974272734	75152	75198	47	-0.244670836042388	"UC-N"	"hypo"
"16"	"chr19"	19860640	19861520	881	"*"	64	9.53761668843722	-0.343008725366496	-22.7052704181036	0.000849617672047579	0.00678991974272734	71318	71381	64	-0.16340467950451	"UC-N"	"hypo"
"17"	"chr19"	56671410	56671920	511	"*"	86	13.2157971296736	-0.418417459381805	-22.4806096790755	0.000849617672047579	0.00678991974272734	153942	154027	86	-0.172656632875608	"UC-N"	"hypo"
"18"	"chr19"	9497924	9499124	1201	"*"	117	13.563946570634	-0.36211229051773	-22.0543477529744	0.000849617672047579	0.00678991974272734	35808	35924	117	-0.151068172414557	"UC-N"	"hypo"
