"seqnames"	"start"	"end"	"width"	"strand"	"L"	"area"	"beta"	"stat"	"pval"	"qval"	"index.start"	"index.end"	"index.width"	"rawDiff"	"Comp"	"Class"
"1"	"chr10"	48684696	48685596	901	"*"	52	20.8166120452922	-0.875682329832812	-36.151270604885	0.000836120401337793	0.00701614075905191	66272	66323	52	-0.38653234444046	"UC-N"	"hypo"
"2"	"chr10"	11164793	11167138	2346	"*"	96	32.8531793382097	-0.884174352556235	-35.2653782774271	0.000836120401337793	0.00701614075905191	26022	26117	96	-0.339510475588884	"UC-N"	"hypo"
"3"	"chr10"	30529471	30529828	358	"*"	41	18.6164019782207	-0.988642573397549	-35.0746613714793	0.000836120401337793	0.00701614075905191	48768	48808	41	-0.452266976413008	"UC-N"	"hypo"
"4"	"chr10"	92691038	92692654	1617	"*"	119	38.0458373229724	-0.748983314643795	-34.5930137856501	0.000836120401337793	0.00701614075905191	107649	107767	119	-0.322603046574662	"UC-N"	"hypo"
"5"	"chr10"	129035458	129035857	400	"*"	38	12.0116630849736	-0.712140417874207	-33.3400814912793	0.000836120401337793	0.00701614075905191	162650	162687	38	-0.31307249380872	"UC-N"	"hypo"
"6"	"chr10"	122163105	122164706	1602	"*"	118	38.9498280044439	-0.739528224935711	-32.8227707341432	0.000836120401337793	0.00701614075905191	149451	149568	118	-0.322360740256245	"UC-N"	"hypo"
"7"	"chr10"	61867568	61868070	503	"*"	82	24.1669528574208	-0.684176576379638	-29.6490992552631	0.000836120401337793	0.00701614075905191	74889	74970	82	-0.299510995287935	"UC-N"	"hypo"
"8"	"chr10"	72326833	72327172	340	"*"	26	8.1679316050989	-0.757456164033963	-26.6242287742001	0.000836120401337793	0.00701614075905191	86537	86562	26	-0.363358671178724	"UC-N"	"hypo"
"9"	"chr10"	133388965	133389609	645	"*"	42	13.359748435701	-0.692872332628968	-25.4362140022506	0.000836120401337793	0.00701614075905191	189211	189252	42	-0.330181829178639	"UC-N"	"hypo"
"10"	"chr10"	128181015	128181204	190	"*"	14	5.53447929285592	-0.869064088089447	-24.5752713520829	0.000836120401337793	0.00701614075905191	160945	160958	14	-0.39353384464859	"UC-N"	"hypo"
"11"	"chr10"	1411973	1412564	592	"*"	32	6.8955036366259	-0.64811919362714	-24.4226443912177	0.000836120401337793	0.00701614075905191	9761	9792	32	-0.267579172607656	"UC-N"	"hypo"
"12"	"chr10"	132296557	132296895	339	"*"	24	7.60575690650607	-0.747158755627952	-23.9457937619121	0.000836120401337793	0.00701614075905191	175819	175842	24	-0.314456501685038	"UC-N"	"hypo"
"13"	"chr10"	22333194	22333662	469	"*"	27	7.39336284881263	-0.682405169093651	-23.7734000996571	0.000836120401337793	0.00701614075905191	38650	38676	27	-0.290833900914115	"UC-N"	"hypo"
"14"	"chr10"	1939183	1939371	189	"*"	30	9.23697365663036	-0.703262097533507	-23.4719257423486	0.000836120401337793	0.00701614075905191	11842	11871	30	-0.322576741028516	"UC-N"	"hypo"
"15"	"chr10"	6062174	6062668	495	"*"	28	8.8152318324075	-0.648553850492119	-22.6890451746737	0.000836120401337793	0.00701614075905191	20592	20619	28	-0.317599430245853	"UC-N"	"hypo"
"16"	"chr10"	86536414	86536886	473	"*"	59	18.5659013143832	-0.736106103754997	-22.5854076268054	0.000836120401337793	0.00701614075905191	99938	99996	59	-0.333819532885484	"UC-N"	"hypo"
"17"	"chr10"	5840272	5840662	391	"*"	41	11.9915947088806	-0.706908002500847	-22.4969906512635	0.000836120401337793	0.00701614075905191	20100	20140	41	-0.31571474314883	"UC-N"	"hypo"
"18"	"chr10"	649904	650479	576	"*"	44	12.9902010684244	0.630285204961566	22.4315988509125	0.000836120401337793	0.00701614075905191	5103	5146	44	0.269873812777143	"UC-N"	"hyper"
"19"	"chr10"	14008307	14010085	1779	"*"	64	14.0418301123785	-0.534543992204865	-22.3422818561703	0.000836120401337793	0.00701614075905191	30923	30986	64	-0.226630577236996	"UC-N"	"hypo"
"20"	"chr10"	1489026	1489372	347	"*"	30	5.73202288668682	-0.469154475850721	-22.2959504699627	0.000836120401337793	0.00701614075905191	10126	10155	30	-0.216876260355838	"UC-N"	"hypo"
"21"	"chr10"	104218878	104219951	1074	"*"	16	5.59106210031856	-0.744304039780295	-22.1871714180546	0.000836120401337793	0.00701614075905191	131250	131265	16	-0.335102122735442	"UC-N"	"hypo"
"22"	"chr10"	3423790	3424731	942	"*"	25	8.63722703269899	-0.779519172853051	-22.098930367102	0.000836120401337793	0.00701614075905191	15852	15876	25	-0.327746263175786	"UC-N"	"hypo"
"23"	"chr10"	30049063	30049480	418	"*"	25	7.5506688052462	-0.667363178829246	-21.9167452686954	0.000836120401337793	0.00701614075905191	48086	48110	25	-0.310645635329625	"UC-N"	"hypo"
"24"	"chr10"	133226587	133226859	273	"*"	31	8.69309047896268	-0.647846972554105	-21.6661276680803	0.000836120401337793	0.00701614075905191	187425	187455	31	-0.258051729097319	"UC-N"	"hypo"
"25"	"chr10"	93757625	93759220	1596	"*"	31	7.88832462365548	-0.551773710401361	-21.4402034498603	0.000836120401337793	0.00701614075905191	109792	109822	31	-0.258135766269675	"UC-N"	"hypo"
"26"	"chr10"	636753	637529	777	"*"	32	7.07462345510092	-0.667232094582504	-21.3744266692691	0.000836120401337793	0.00701614075905191	4864	4895	32	-0.281898993813383	"UC-N"	"hypo"
"27"	"chr10"	14601999	14602349	351	"*"	16	4.99117258003539	-0.697449225979139	-21.3620681300811	0.000836120401337793	0.00701614075905191	31506	31521	16	-0.325207870682004	"UC-N"	"hypo"
"28"	"chr10"	120949495	120950428	934	"*"	29	7.38721017893958	-0.611488336293902	-21.2994203421843	0.000836120401337793	0.00701614075905191	147652	147680	29	-0.280569517491174	"UC-N"	"hypo"
"29"	"chr10"	31134452	31134745	294	"*"	24	7.20758074464599	-0.674537827836886	-21.1947261704666	0.000836120401337793	0.00701614075905191	49865	49888	24	-0.280685274614501	"UC-N"	"hypo"
"30"	"chr10"	29659301	29659632	332	"*"	8	2.96955839090188	-1.06177150142667	-21.1502576104095	0.000836120401337793	0.00701614075905191	47590	47597	8	-0.360480158230604	"UC-N"	"hypo"
"31"	"chr10"	132544476	132544857	382	"*"	31	7.02732346407437	-0.647452130935386	-21.1283554672916	0.000836120401337793	0.00701614075905191	177353	177383	31	-0.290610213237991	"UC-N"	"hypo"
"32"	"chr10"	103584135	103585104	970	"*"	74	17.7417555866693	-0.674949278730954	-20.8647729333641	0.000836120401337793	0.00701614075905191	130208	130281	74	-0.255232780837785	"UC-N"	"hypo"
"33"	"chr10"	132329881	132330190	310	"*"	20	6.74655437695267	-0.765054635855936	-20.621764363026	0.000836120401337793	0.00701614075905191	176104	176123	20	-0.364651062344349	"UC-N"	"hypo"
"34"	"chr10"	69087594	69088186	593	"*"	14	4.07458873912671	-0.660420716505095	-20.293990199905	0.000836120401337793	0.00701614075905191	80244	80257	14	-0.293645566254399	"UC-N"	"hypo"
"35"	"chr10"	126476351	126476661	311	"*"	21	4.5151932054009	-0.489189494597147	-20.257295068229	0.000836120401337793	0.00701614075905191	158629	158649	21	-0.204631269632048	"UC-N"	"hypo"
"36"	"chr10"	68561797	68562586	790	"*"	49	11.3335533426022	-0.50564683200241	-20.1568436574439	0.000836120401337793	0.00701614075905191	79413	79461	49	-0.216376496046614	"UC-N"	"hypo"
"37"	"chr10"	34636694	34636930	237	"*"	19	5.58245113981674	-0.70962807257064	-19.557302044707	0.000836120401337793	0.00701614075905191	52941	52959	19	-0.308153461387353	"UC-N"	"hypo"
"38"	"chr10"	132547440	132549331	1892	"*"	103	13.7996173880265	-0.364042283300732	-19.3118017971284	0.000836120401337793	0.00701614075905191	177463	177565	103	-0.140741144545546	"UC-N"	"hypo"
"39"	"chr10"	35637286	35637637	352	"*"	18	5.67719152586832	-0.706233927256838	-19.199221257233	0.000836120401337793	0.00701614075905191	54120	54137	18	-0.313179613365907	"UC-N"	"hypo"
"40"	"chr10"	75043652	75044168	517	"*"	44	14.4879459353161	-0.669127222637157	-19.0718976317451	0.000836120401337793	0.00701614075905191	90042	90085	44	-0.333611518965478	"UC-N"	"hypo"
"41"	"chr10"	100008199	100008955	757	"*"	16	3.46305558081592	0.528803111265008	18.9491874850667	0.000836120401337793	0.00701614075905191	119241	119256	16	0.239691952602392	"UC-N"	"hyper"
"42"	"chr10"	126903839	126904044	206	"*"	11	3.64118378605312	-0.761920524303957	-18.8102914045444	0.000836120401337793	0.00701614075905191	158949	158959	11	-0.349047232371072	"UC-N"	"hypo"
"43"	"chr10"	26566952	26567539	588	"*"	50	16.1236129590995	0.728695523489094	18.5447050446606	0.000836120401337793	0.00701614075905191	43111	43160	50	0.284171569375136	"UC-N"	"hyper"
"44"	"chr10"	99521425	99522873	1449	"*"	140	35.602681128788	0.532594060140446	18.5160070355023	0.000836120401337793	0.00701614075905191	117874	118013	140	0.254586868421793	"UC-N"	"hyper"
"45"	"chr10"	133529588	133529808	221	"*"	37	8.72180144586919	-0.527298670944389	-18.394026272316	0.000836120401337793	0.00701614075905191	190161	190197	37	-0.208862407420246	"UC-N"	"hypo"
"46"	"chr10"	113381981	113382250	270	"*"	13	3.42162230084596	-0.691660906238608	-18.2676229652162	0.000836120401337793	0.00701614075905191	137359	137371	13	-0.252223943035936	"UC-N"	"hypo"
"47"	"chr10"	18260677	18261207	531	"*"	29	4.27034202685608	-0.380454925383873	-17.9527567373577	0.000836120401337793	0.00701614075905191	35671	35699	29	-0.17345597926897	"UC-N"	"hypo"
"48"	"chr10"	21494039	21494360	322	"*"	25	4.9584064146287	-0.59058294398952	-17.9037202958527	0.000836120401337793	0.00701614075905191	37067	37091	25	-0.246745630910939	"UC-N"	"hypo"
"49"	"chr10"	2908939	2909135	197	"*"	16	3.23433254999455	-0.465247897906362	-17.8744181415233	0.000836120401337793	0.00701614075905191	13098	13113	16	-0.204233123205893	"UC-N"	"hypo"
"50"	"chr10"	31586960	31587219	260	"*"	17	6.13586268130829	-0.813327319013096	-17.7668983167856	0.000836120401337793	0.00701614075905191	50191	50207	17	-0.396812388867012	"UC-N"	"hypo"
"51"	"chr10"	12448773	12448960	188	"*"	18	4.66461326922392	-0.657351630747389	-17.7305296713204	0.000836120401337793	0.00701614075905191	28219	28236	18	-0.270809399230806	"UC-N"	"hypo"
"52"	"chr10"	119541218	119542223	1006	"*"	37	9.26271509268593	-0.500224138370362	-17.7245303973655	0.000836120401337793	0.00701614075905191	146082	146118	37	-0.265893371222665	"UC-N"	"hypo"
"53"	"chr10"	110869130	110869248	119	"*"	7	2.71628940674916	-0.877588404654657	-17.6562421070838	0.000836120401337793	0.00701614075905191	135357	135363	7	-0.371330297358958	"UC-N"	"hypo"
"54"	"chr10"	132497398	132497642	245	"*"	26	5.62930340191203	-0.562127479622695	-17.6192260241719	0.000836120401337793	0.00701614075905191	177124	177149	26	-0.239636514587706	"UC-N"	"hypo"
"55"	"chr10"	77949269	77949375	107	"*"	12	3.5639385101336	-0.629772850986137	-17.6158149702618	0.000836120401337793	0.00701614075905191	92875	92886	12	-0.271424610535128	"UC-N"	"hypo"
"56"	"chr10"	30163795	30164053	259	"*"	34	6.8471020949328	-0.525929288938039	-17.5920794525582	0.000836120401337793	0.00701614075905191	48271	48304	34	-0.245268539851288	"UC-N"	"hypo"
"57"	"chr10"	15254770	15254898	129	"*"	18	5.83650959251711	-0.699655639482599	-17.4285894913608	0.000836120401337793	0.00701614075905191	33223	33240	18	-0.319895569651321	"UC-N"	"hypo"
"58"	"chr10"	49441568	49441933	366	"*"	41	9.85979113725479	-0.59284636228557	-17.3228325097048	0.000836120401337793	0.00701614075905191	67118	67158	41	-0.268863477435493	"UC-N"	"hypo"
"59"	"chr10"	451323	451438	116	"*"	10	3.0509131516599	-0.675828564101593	-17.3110362319296	0.000836120401337793	0.00701614075905191	2714	2723	10	-0.340208810343843	"UC-N"	"hypo"
"60"	"chr10"	114875055	114875238	184	"*"	20	6.85468743173126	-0.687810120676821	-17.288117463158	0.000836120401337793	0.00701614075905191	139258	139277	20	-0.312755304927325	"UC-N"	"hypo"
"61"	"chr10"	17233600	17233731	132	"*"	11	4.19226362889113	0.820406936717325	17.2755323339836	0.000836120401337793	0.00701614075905191	34955	34965	11	0.370525167655483	"UC-N"	"hyper"
"62"	"chr10"	30929180	30929487	308	"*"	19	5.35986397779878	-0.695690228768045	-17.2494966939159	0.000836120401337793	0.00701614075905191	49546	49564	19	-0.307286869082191	"UC-N"	"hypo"
"63"	"chr10"	118594611	118595551	941	"*"	99	15.80657717879	-0.34279162762126	-17.1368796349613	0.000836120401337793	0.00701614075905191	144250	144348	99	-0.13990890956118	"UC-N"	"hypo"
"64"	"chr10"	124088066	124088239	174	"*"	13	4.60557508978474	0.75947776539599	16.9808589482298	0.000836120401337793	0.00701614075905191	154158	154170	13	0.345408402504497	"UC-N"	"hyper"
"65"	"chr10"	26437875	26438081	207	"*"	18	3.43238622382119	-0.567563397440256	-16.9614622569373	0.000836120401337793	0.00701614075905191	42989	43006	18	-0.210177826559196	"UC-N"	"hypo"
